,First Class,Same Day,Second Class,Standard Class
First Class,0.6255506607929515,0.07389162561576355,0.13783269961977188,0.09393900398919058
Same Day,0.07709251101321586,0.6354679802955665,0.07129277566539924,0.03217089177712006
Second Class,0.1751101321585903,0.17733990147783252,0.5836501901140685,0.14901557071162014
Standard Class,0.1222466960352423,0.11330049261083744,0.20722433460076045,0.7248745335220692
