,0
scalar__Shipping Cost,0.0306212449965869
encoder__Sub-Category,0.03597363032976766
scalar__Price Per Unit,0.04636375483269056
passthorugh__Discount,0.3176350136360545
scalar__Sales,0.5694063562049004
