player_id,player_name,nominations
a/antetgi01,Giannis Antetokounmpo,5
d/doncilu01,Luka Dončić,5
j/jamesle01,LeBron James,3
c/curryst01,Stephen Curry,3
p/paulch01,Chris Paul,3
l/lillada01,Damian Lillard,2
b/brunsja01,Jalen Brunson,2
m/moranja01,Ja Morant,2
g/gilgesh01,Shai Gilgeous-Alexander,2
h/hardeja01,James Harden,1
w/westbru01,Russell Westbrook,1
b/bookede01,Devin Booker,1
m/mitchdo01,Donovan Mitchell,1
f/foxde01,De'Aaron Fox,1
