,standing,team_name,team_year_id
0,1,Milwaukee Bucks,MIL/2020
1,2,Toronto Raptors,TOR/2020
0,1,Utah Jazz,UTA/2021
1,2,Phoenix Suns,PHO/2021
0,1,Phoenix Suns,PHO/2022
1,2,Memphis Grizzlies,MEM/2022
0,1,Milwaukee Bucks,MIL/2023
1,2,Boston Celtics,BOS/2023
0,1,Boston Celtics,BOS/2024
1,2,Denver Nuggets,DEN/2024
